"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"603","1",1925,"3",285,2027.42,0.2
"604","1",1647,"1",69,3538.14,3.2
"605","1",1854,"1",502,854.31,0
"606","1",1934,"3",406,1738.7,5.8
"607","1",2075,"1",416,1273.4,3.6
"608","1",1663,"1",416,1417.38,0.4
"609","1",1670,"3",453,1968.9,0
"610","1",1677,"3",432,2941.64,0.8
"611","1",1804,"1",532,1575.64,0.2
"612","1",1685,"1",381,1270,1.2
"613","0",1693,"3",109,6487.65,1.4
"614","1",1692,"2",342,1256,0.2
"615","1",1937,"3",229,1240.2,0
"616","1",2065,"1",362,1704.79,0.4
"617","1",1705,"1",340,1387.11,0
"618","1",1706,"1",438,969.06,0.6
"619","1",1868,"1",257,2374.33,3
"620","1",1714,"2",247,1102.27,0
"621","1",1856,"3",278,1709.81,0
"622","1",1721,"3",485,2961.59,0
"623","1",1722,"1",43,1353,3.8
"624","1",1725,"1",748,2086.58,0.2
"625","0",1194,"1",744,2831.85,1.6
"626","0",1192,"1",732,1701.25,0.8
"627","1",2092,"1",434,2683.85,1.6
"628","1",2164,"2",429,1966,0.6
"629","1",1743,"1",183,1028.23,0.2
"630","1",2135,"1",399,2354.05,1.4
"631","1",1750,"3",467,1699.36,0.2
"632","1",2055,"3",329,1773.73,0.4
"633","1",1758,"3",156,3552.11,1.6
"634","1",2092,"3",67,7056.74,2.8
"635","1",1736,"1",447,1490.64,1
"636","1",2099,"3",425,1010.85,1
"637","1",2148,"1",393,1259.12,0.2
"638","1",1473,"3",742,989.16,0.8
"639","1",1391,"2",625,2935.16,0.4
"640","1",1787,"1",395,1839.83,0.4
"641","1",1791,"3",378,3357.67,1
"642","0",1098,"1",995,2156.46,0.4
"643","1",1918,"3",120,2227.79,0.2
"644","1",1852,"3",396,2324.75,0.2
"645","1",1959,"3",224,1519.45,0
"646","1",1802,"1",83,1456.16,2
"647","1",2023,"3",350,2729.7,0.4
"648","1",1813,"1",391,794.1,0
"649","1",1816,"1",402,4729.95,0.8
